Cuenta;Centro Costo;Id Cuenta;Concepto;Fecha;Detalle;Nombre;Importe;Debe;Haber;Asiento;Operacion;Subcta;CUIT;TIPO_COMP;LETRA;TERMINAL;NUMERO;SUBCTA
RETENCIONES INGRESOS BRUTOS;0;38;VISA GALICIA-A-1-88182163;01/03/2019;FAC - 1 - A - 88182163;VISA GALICIA-A-1-88182163;224,58;224,58;0;205034;FACPRO;;30-50000173-5;DEV;;0;19334;2733
RETENCIONES INGRESOS BRUTOS;0;38;;01/03/2019;LOS CINCO SA         - 25/02/2019 - 1627;;1611,64;1611,64;0;204662;RECIBO;;30-58933613-1;REC;;1;51086;2011
RETENCIONES INGRESOS BRUTOS;0;38;;01/03/2019;CERAMICA MARCOS PAZ  - 27/02/2019 - 6332;;477,12;477,12;0;204651;RECIBO;;30-52340824-7;REC;;1;51080;2065
RETENCIONES INGRESOS BRUTOS;0;38;TRANSFERNCIA EESS - 01-03-2019 - CHEQUE;01/03/2019;RETENCION ING.BRUTOS - 2431 - 27.02.2019;;113,35;113,35;0;204672;TRANS;;;TRANS;;1;21762;
RETENCIONES INGRESOS BRUTOS;0;38;;06/03/2019;PROYECTOS METALURGIC - 01/03/2019 - 174;;472,29;472,29;0;204735;RECIBO;;30-70772880-5;REC;;1;51111;9066
RETENCIONES INGRESOS BRUTOS;0;38;;07/03/2019;LA ASTURIANA S.R.L   - 01/03/2019 - 4871;;4779,24;4779,24;0;204787;RECIBO;;30-70872456-0;REC;;1;51134;3067
RETENCIONES INGRESOS BRUTOS;0;38;;08/03/2019;ACHERAL S.A. - 21/02/2019 - 8242;;804,88;804,88;0;204875;RECIBO;;33-70866875-9;REC;;1;51151;9133
RETENCIONES INGRESOS BRUTOS;0;38;TRANSFERNCIA EESS - 07-03-2019 - CHEQUES - DIEGO ZAMORA E HIJOS;08/03/2019;RETENCION ING.BRUTOS - 9522 - 05.03.2019;;12319,35;12319,35;0;204863;TRANS;;;TRANS;;1;21785;
RETENCIONES INGRESOS BRUTOS;0;38;TRANAFERENCIA EESS - 09-03-2019 - BANCO;09/03/2019;RETENCION ING.BRUTOS - 4921 - 28.02.2019;;3115,01;3115,01;0;204988;TRANS;;;TRANS;;1;21808;
RETENCIONES INGRESOS BRUTOS;0;38;;11/03/2019;DEL TEJAR SA - 08/03/2019 - 76974;;13528,52;13528,52;0;204995;RECIBO;;33-55565228-9;REC;;1;51170;11166
RETENCIONES INGRESOS BRUTOS;0;38;;11/03/2019;DEL TEJAR SA - 07/03/2019 - 75778;;25858,17;25858,17;0;204996;RECIBO;;33-55565228-9;REC;;1;51171;11166
RETENCIONES INGRESOS BRUTOS;0;38;;12/03/2019;LOS CUATROS SOLES SR - 12/03/2019 - 1091;;2520,14;2520,14;0;205221;RECIBO;;30-67997813-2;REC;;1;51200;3023
RETENCIONES INGRESOS BRUTOS;0;38;;12/03/2019;DIRECCION PROVINCIAL - 25/02/2019 - 139;;10686,6;10686,6;0;205227;RECIBO;;33-63864078-9;REC;;1;51202;9068
RETENCIONES INGRESOS BRUTOS;0;38;;12/03/2019;TIERRA DE ARANDANOS  - 27/02/2019 - 2435;;2026,14;2026,14;0;205136;RECIBO;;30-70851354-3;REC;;1;51192;9325
RETENCIONES INGRESOS BRUTOS;0;38;;13/03/2019;QUILLEN BERRIES S.A - 12/03/2019 - 147;;1009,18;1009,18;0;205249;RECIBO;;30-70858734-2;REC;;1;51207;9202
RETENCIONES INGRESOS BRUTOS;0;38;;13/03/2019;LAPACHO AMARILLO SRL - 12/03/2019 - 1168;;3632,46;3632,46;0;205305;RECIBO;;30-70746504-9;REC;;1;51213;10429
RETENCIONES INGRESOS BRUTOS;0;38;;14/03/2019;RODA TRANSFORMECANIC - 06/03/2019 - 1625;;193,68;193,68;0;205349;RECIBO;;30-70799138-7;REC;;1;51227;2019
RETENCIONES INGRESOS BRUTOS;0;38;;14/03/2019;MUNIC.S.M.TUCUMAN DI - 14/03/2019 - 112343;;8312,5;8312,5;0;205446;RECIBO;;30-65534294-6;REC;;1;51237;8158
RETENCIONES INGRESOS BRUTOS;0;38;;14/03/2019;LOS LOPEZ S.R.L.     - 29/01/2019 - 427;;3193,65;3193,65;0;205412;RECIBO;;30-70794921-6;REC;;1;51234;9103
RETENCIONES INGRESOS BRUTOS;0;38;;15/03/2019;CERAMICA MARCOS PAZ  - 15/03/2019 - 6387;;3427,17;3427,17;0;205521;RECIBO;;30-52340824-7;REC;;1;51249;2065
RETENCIONES INGRESOS BRUTOS;0;38;;16/03/2019;ROMERO JOSE FORTUNAT - 16/03/2019 - 322;;2558,26;2558,26;0;205546;RECIBO;;20-08086273-4;REC;;1;51251;9150
RETENCIONES INGRESOS BRUTOS;0;38;;18/03/2019;MUNIC.S.M.TUCUMAN DI - 18/03/2019 - 112419;;8290,63;8290,63;0;205625;RECIBO;;30-65534294-6;REC;;1;51274;8158
RETENCIONES INGRESOS BRUTOS;0;38;;18/03/2019;BLAZQUEZ SRL - 14/03/2019 - 993;;350,78;350,78;0;205595;RECIBO;;30-68567422-6;REC;;1;51267;10430
RETENCIONES INGRESOS BRUTOS;0;38;;19/03/2019;LOS CUATROS SOLES SR - 18/03/2019 - 1093;;1704,54;1704,54;0;205652;RECIBO;;30-67997813-2;REC;;1;51276;3023
RETENCIONES INGRESOS BRUTOS;0;38;;19/03/2019;ROTTA MANUEL JUAN - 18/03/2019 - 1678;;2131,88;2131,88;0;205687;RECIBO;;20-22969386-8;REC;;1;51280;10461
RETENCIONES INGRESOS BRUTOS;0;38;;20/03/2019;NYNAGRO S.R.L. - 18/03/2019 - 828;;2794,27;2794,27;0;205768;RECIBO;;30-70708958-6;REC;;1;51298;9115
RETENCIONES INGRESOS BRUTOS;0;38;TRANSFERENCIA EESS - 20-03-2019 - 10 HS - CHEQUES;20/03/2019;RETENCION ING.BRUTOS - 3077 - 18.03.2019;;812,5;812,5;0;205775;TRANS;;;TRANS;;1;21947;
RETENCIONES INGRESOS BRUTOS;0;38;;21/03/2019;LOS PEMPA AGROGANADE - 07/03/2019 - 1971;;229,18;229,18;0;205985;RECIBO;;30-64418649-7;REC;;1;51311;2012
RETENCIONES INGRESOS BRUTOS;0;38;;21/03/2019;SIGSTAD JUAN - 20/03/2019 - 1248;;731,92;731,92;0;206023;RECIBO;;20-13479587-6;REC;;1;51316;8060
RETENCIONES INGRESOS BRUTOS;0;38;;22/03/2019;VICENTE TRAPANI SA   - 19/03/2019 - 30778;;171,45;171,45;0;206127;RECIBO;;30-50551763-2;REC;;1;51338;2029
RETENCIONES INGRESOS BRUTOS;0;38;;22/03/2019;RF y J BUDEGUER SRL - 22/03/2019 - 4569;;1141,95;1141,95;0;206115;RECIBO;;30-62091992-2;REC;;1;51333;3017
RETENCIONES INGRESOS BRUTOS;0;38;;22/03/2019;LA ASTURIANA S.R.L   - 22/03/2019 - 4930;;3358,86;3358,86;0;206122;RECIBO;;30-70872456-0;REC;;1;51337;3067
RETENCIONES INGRESOS BRUTOS;0;38;;22/03/2019;DIRECCION PROVINCIAL - 12/03/2019 - 5964;;11874;11874;0;206097;RECIBO;;33-63864078-9;REC;;1;51332;9068
RETENCIONES INGRESOS BRUTOS;0;38;;22/03/2019;DIRECCION PROVINCIAL - 28/02/2019 - 3;;12793;12793;0;206097;RECIBO;;33-63864078-9;REC;;1;51332;9068
RETENCIONES INGRESOS BRUTOS;0;38;;22/03/2019;DEL TEJAR SA - 19/03/2019 - 98619;;38983,62;38983,62;0;206095;RECIBO;;33-55565228-9;REC;;1;51331;11166
RETENCIONES INGRESOS BRUTOS;0;38;VISA GALICIA-A-1-89323805;25/03/2019;FAC - 1 - A - 89323805;VISA GALICIA-A-1-89323805;2861,88;2861,88;0;206312;FACPRO;;30-50000173-5;DEV;;0;19485;2733
RETENCIONES INGRESOS BRUTOS;0;38;;25/03/2019;ACHERAL S.A. - 21/03/2019 - 8301;;389,71;389,71;0;206218;RECIBO;;33-70866875-9;REC;;1;51369;9133
RETENCIONES INGRESOS BRUTOS;0;38;;25/03/2019;LAPACHO AMARILLO SRL - 15/03/2019 - 1174;;353,56;353,56;0;206197;RECIBO;;30-70746504-9;REC;;1;51366;10429
RETENCIONES INGRESOS BRUTOS;0;38;;26/03/2019;CIA AZUCARERA LOS BA - 22/03/2019 - 32683;;9647,97;9647,97;0;206287;RECIBO;;30-67541508-7;REC;;1;51384;10889
RETENCIONES INGRESOS BRUTOS;0;38;;27/03/2019;MUNIC.S.M.TUCUMAN DI - 22/03/2019 - 57;;6250;6250;0;206415;RECIBO;;30-65534294-6;REC;;1;51403;8158
RETENCIONES INGRESOS BRUTOS;0;38;;27/03/2019;MUNIC.S.M.TUCUMAN DI - 26/03/2019 - 112613;;14800;14800;0;206416;RECIBO;;30-65534294-6;REC;;1;51404;8158
RETENCIONES INGRESOS BRUTOS;0;38;;28/03/2019;CITROMAX S.A.C.I     - 27/03/2019 - 1294859;;477,35;477,35;0;206483;RECIBO;;30-50623091-4;REC;;1;51422;2053
RETENCIONES INGRESOS BRUTOS;0;38;;28/03/2019;MUNIC.S.M.TUCUMAN DI - 28/03/2019 - 112682;;17268,75;17268,75;0;206495;RECIBO;;30-65534294-6;REC;;1;51425;8158
RETENCIONES INGRESOS BRUTOS;0;38;;29/03/2019;CERAMICA MARCOS PAZ  - 28/03/2019 - 6424;;160,12;160,12;0;206584;RECIBO;;30-52340824-7;REC;;1;51440;2065
RETENCIONES INGRESOS BRUTOS;0;38;;30/03/2019;RODA TRANSFORMECANIC - 25/03/2019 - 1632;;2998,18;2998,18;0;206622;RECIBO;;30-70799138-7;REC;;1;51447;2019
